ranking_dea,cod_ibge,Município,UF,População_2022,eficiencia_dea,phi_expansao_outputs,eficiente,benchmarks_sugeridos,tipo_benchmark,risco_inundacao,risco_deslizamento,exposicao_domicilios_risco,saneamento_resiliente,gestao_risco,governanca_investimento_adaptativo,agua,esgoto,tratamento_esgoto,infraestrutura,politica_ambiental,risco_composto,grupo_prioridade,cluster_kmeans,classe_inundacao,classe_deslizamento,risco_percentil,ineficiencia_percentil,indice_prioridade,eficiencia_pred_rf
1,3549409,São Joaquim da Barra,SP,48558,1.0,1.0,True,São Joaquim da Barra,similaridade,0.69,0.62,0.0,100.0,0,44.30508474576271,100.0,100.0,100.0,8.61016949152542,80,0.655,alto risco/alta eficiência,1,Alto,Alto,0.8914728682170543,0.021705426356589147,0.019349798689982572,0.9988638274521701
1,3550902,São Simão,SP,13442,1.0,1.0,True,São Simão,similaridade,0.63,0.67,0.0,100.0,4,40.0,100.0,100.0,100.0,0.0,80,0.65,alto risco/alta eficiência,1,Alto,Alto,0.8875968992248062,0.021705426356589147,0.01926566913046091,0.9986733911961402
1,3548401,Santópolis do Aguapeí,SP,3899,1.0,1.0,True,Santópolis do Aguapeí,similaridade,0.64,0.54,0.0,100.0,0,30.0,100.0,100.0,100.0,0.0,60,0.5900000000000001,alto risco/alta eficiência,1,Alto,Médio,0.8186046511627907,0.021705426356589147,0.0177681629709753,0.9995720043527632
1,3514601,Dumont,SP,9471,1.0,1.0,True,Dumont,similaridade,0.61,0.54,0.0,100.0,4,20.0,100.0,100.0,100.0,0.0,40,0.575,alto risco/alta eficiência,1,Alto,Médio,0.789922480620155,0.021705426356589147,0.01714560423051499,0.9995319170975032
1,3531308,Monte Alto,SP,47574,1.0,1.0,True,Monte Alto,similaridade,0.63,0.45,0.0,100.0,8,50.0,100.0,100.0,100.0,0.0,100,0.54,alto risco/alta eficiência,3,Alto,Médio,0.748062015503876,0.021705426356589147,0.01623700498768103,0.9994148303580915
1,3532900,Nova Europa,SP,9311,1.0,1.0,True,Nova Europa,similaridade,0.61,0.47,0.0,100.0,8,31.10697189380709,100.0,100.0,100.0,2.21394378761418,60,0.54,alto risco/alta eficiência,1,Alto,Médio,0.748062015503876,0.021705426356589147,0.01623700498768103,0.9998160173042283
1,3504206,Auriflama,SP,13692,1.0,1.0,True,Auriflama,similaridade,0.58,0.47,0.0,100.0,4,30.0,100.0,100.0,100.0,0.0,60,0.5249999999999999,alto risco/alta eficiência,1,Médio,Médio,0.713953488372093,0.021705426356589147,0.015496664863890392,0.999614161125692
1,3536604,Paulo de Faria,SP,7400,1.0,1.0,True,Paulo de Faria,similaridade,0.6,0.44,0.0,100.0,4,20.0,100.0,100.0,100.0,0.0,40,0.52,alto risco/alta eficiência,1,Alto,Médio,0.7077519379844961,0.021705426356589147,0.015362057568655729,0.999381324876612
1,3540002,Pompéia,SP,20196,1.0,1.0,True,Pompéia,similaridade,0.51,0.49,0.0,100.0,20,42.00727469186214,100.0,100.0,100.0,4.01454938372429,80,0.5,alto risco/alta eficiência,3,Médio,Médio,0.6635658914728683,0.021705426356589147,0.014402980590108768,0.9997207611302383
1,3554409,Terra Roxa,SP,7904,1.0,1.0,True,Terra Roxa,similaridade,0.53,0.46,0.0,100.0,12,20.0,100.0,100.0,100.0,0.0,40,0.495,alto risco/alta eficiência,1,Médio,Médio,0.6511627906976745,0.021705426356589147,0.014133765999639445,0.9993330651807036
